m_ID,S,S_LowHigh,C,C_category,ratio,NODF,P_Ce,NODFst,N_LowHigh,nSpecA
1,88,0,0.15588,0,3.4,-1.3217,0.91,-0.1,0,9
2,88,0,0.1556,0,2.6667,-1.1502,0.87,-0.09,0,7
3,88,0,0.15427,0,3,-0.89681,0.82,-0.07,0,7
4,89,0,0.154,0,3.0455,-1.0311,0.85,-0.08,0,11
5,88,0,0.15385,0,2.8261,-0.097708,0.54,-0.01,0,9
6,89,0,0.15375,0,2.56,-1.1712,0.88,-0.09,0,7
7,88,0,0.15358,0,3,-0.73275,0.77,-0.06,0,10
8,89,0,0.15345,0,2.069,-1.2331,0.89,-0.09,0,1
9,90,0,0.15341,0,2.75,-1.3132,0.91,-0.09,0,8
10,89,0,0.15321,0,2.7083,-0.47706,0.68,-0.04,0,6
11,89,0,0.15256,0,2.7083,-0.59566,0.72,-0.04,0,6
12,90,0,0.15252,0,3.2857,-0.9594,0.83,-0.07,0,9
13,88,0,0.15238,0,2.52,-1.2003,0.89,-0.09,0,4
14,87,0,0.15224,0,3.1429,-0.51016,0.7,-0.04,0,9
15,91,0,0.15204,0,1.7576,-1.0268,0.85,-0.07,0,1
16,89,0,0.15197,0,3.0455,-1.1861,0.88,-0.09,0,8
17,90,0,0.15168,0,2.3333,-1.3701,0.91,-0.1,0,3
18,88,0,0.15152,0,3,-0.37127,0.64,-0.03,0,13
19,87,0,0.15152,0,3.1429,-0.64077,0.74,-0.05,0,9
20,89,0,0.1514,0,2.4231,-1.107,0.87,-0.09,0,5
21,89,0,0.15129,0,3.0455,-0.64604,0.74,-0.05,0,7
22,89,0,0.15125,0,2.56,-1.3463,0.91,-0.1,0,7
23,91,0,0.15119,0,1.6765,-0.90553,0.82,-0.06,0,3
24,91,0,0.15099,0,1.7576,-0.59615,0.72,-0.04,0,5
25,90,0,0.15088,0,2.75,-1.0885,0.86,-0.08,0,5
26,89,0,0.15086,0,2.8696,-0.49163,0.69,-0.04,0,7
27,89,0,0.15086,0,2.8696,-0.19265,0.58,-0.01,0,7
28,88,0,0.15083,0,3,-0.68174,0.75,-0.05,0,14
29,88,0,0.15074,0,2.3846,-0.82523,0.8,-0.06,0,5
30,90,0,0.15074,0,1.6471,-1,0.84,-0.07,0,1
31,89,0,0.15063,0,2.56,-1.1784,0.88,-0.08,0,6
32,89,0,0.15061,0,3.0455,-1.6036,0.95,-0.12,0,3
33,90,0,0.15056,0,2,-1.1831,0.88,-0.08,0,3
34,89,0,0.15056,0,3.2381,-0.37832,0.65,-0.03,0,9
35,88,0,0.1505,0,2.8261,-0.78872,0.78,-0.06,0,6
36,90,0,0.1505,0,2.3333,-0.65099,0.74,-0.05,0,5
37,91,0,0.15047,0,1.7576,-1.4945,0.93,-0.11,0,1
38,91,0,0.15026,0,2.9565,-1.0804,0.86,-0.08,0,6
39,90,0,0.15024,0,2.4615,-0.50305,0.69,-0.04,0,6
40,90,0,0.15024,0,2.4615,-0.89875,0.82,-0.07,0,4
41,89,0,0.15018,0,2.4231,-0.75342,0.77,-0.05,0,6
42,89,0,0.15,0,2.56,-0.4454,0.67,-0.03,0,4
43,89,0,0.14986,0,3.2381,-1.3893,0.92,-0.11,0,10
44,87,0,0.14965,0,2.9545,-1.2835,0.9,-0.1,0,9
45,91,0,0.14954,0,3.1364,-1.5431,0.94,-0.12,0,7
46,91,0,0.14954,0,3.1364,-1.2316,0.89,-0.1,0,6
47,88,0,0.14925,0,3.1905,-1.4222,0.92,-0.11,0,6
48,88,0,0.14925,0,3.1905,-1.2185,0.89,-0.1,0,9
49,90,0,0.14925,0,2.913,-0.57866,0.72,-0.04,0,8
50,88,0,0.14925,0,3.1905,-0.65986,0.75,-0.05,0,7
51,90,0,0.14919,0,2.2143,-0.57352,0.72,-0.04,0,2
52,91,0,0.14909,0,2.64,-1.8304,0.97,-0.14,0,1
53,91,0,0.14909,0,2.25,-1.1045,0.87,-0.08,0,1
54,91,0,0.14905,0,2.1379,-1.9325,0.97,-0.14,0,3
55,90,0,0.14899,0,2.75,-0.78896,0.78,-0.06,0,8
56,87,0,0.14895,0,2.9545,-1.2443,0.89,-0.1,0,10
57,89,0,0.14888,0,2.8696,-2.5654,0.99,-0.19,0,5
58,91,0,0.14888,0,3.1364,-0.53326,0.7,-0.04,0,13
59,92,0,0.14872,0,2.4074,-1.5165,0.94,-0.11,0,3
60,90,0,0.14867,0,2.1034,-0.75904,0.78,-0.05,0,3
61,91,0,0.14863,0,2.0333,-0.87987,0.81,-0.06,0,2
62,91,0,0.14863,0,2.0333,-0.89972,0.82,-0.06,0,3
63,91,0,0.14861,0,1.6765,-1.131,0.87,-0.08,0,2
64,90,0,0.1486,0,2.913,-1.4129,0.92,-0.11,0,6
65,90,0,0.1486,0,2.913,-0.2181,0.59,-0.02,0,3
66,92,0,0.14858,0,1.7059,-1.048,0.85,-0.07,0,2
67,88,0,0.14854,0,3.1905,-0.98158,0.84,-0.08,0,10
68,91,0,0.1485,0,2.1379,-1.3743,0.92,-0.1,0,3
69,89,0,0.14846,0,3.2381,-1.6926,0.95,-0.13,0,8
70,89,0,0.14846,0,3.2381,-1.8243,0.97,-0.14,0,10
71,90,0,0.14844,0,2.4615,-1.0451,0.85,-0.08,0,4
72,90,0,0.14844,0,2.4615,-1.0132,0.84,-0.07,0,6
73,92,0,0.14843,0,1.7879,0.095111,0.46,0.01,0,5
74,91,0,0.14839,0,1.9355,-1.0688,0.86,-0.08,0,5
